year,total_approvals,real_estate_route,other_routes,total_investment_eur,top_nationalities,source_type,source
2012,2,not broken out (program started Oct 2012),not broken out,not found,not found,primary (count only),"SEF, Mapa_ARI_PT_julho18.pdf"
2013,494,not broken out for this year,not broken out,270000000 (rough secondary estimate),not found for this year,primary (count) / secondary (EUR figure),"SEF Mapa_ARI PDF (count); ECO ""Oito anos, 8.207 vistos"" (EUR, 2020)"
2014,1526,not broken out for this year,not broken out,921300000,not found for this year,primary (count) / secondary (EUR figure),"SEF Mapa_ARI PDF (count); ECO ""Em dez anos..."" (EUR, 2022)"
2015,766,not broken out for this year,not broken out,465300000 (low confidence),not found for this year,primary (count) / secondary (EUR figure - low confidence),"SEF Mapa_ARI PDF (count); Movingto/GetGoldenVisa compiled statistics"
2016,1414,"1329 ops / EUR 787447087.79","Capital transfer: 84 ops / EUR 86997232.31; Job creation: 1",874444320.10,"China 848; Brazil 142; South Africa 62; Russia 51; Jordan 35",primary,"SEF/SEFSTAT, RIFA 2016 (sefstat.sef.pt/Docs/Rifa2016.pdf)"
2017,1351,"1204 ops / EUR 743699901.22","Capital transfer: 70 ops / EUR 73448564.84; Job creation: 2; ~EUR 26.9M unreconciled residual (likely fund-subscription/research routes added Sept 2017)",844088897.77,"China 538; Brazil 226; South Africa 81; Turkey 78; Russia 47",primary,"SEF/SEFSTAT, RIFA 2017 (sefstat.sef.pt/Docs/Rifa2017.pdf)"
2018,1409,"1332 ops / EUR 762373290.04","Capital transfer: 72 ops (>=EUR 1M each) / EUR 76159645.23; Job creation: 5 approvals",838532935.27,not broken out by SEF for 2018 alone (only cumulative-since-2012 figures published),primary (cross-validated),"SEF/SEFSTAT, RIFA 2018 (sefstat.sef.pt/Docs/Rifa2018.pdf); total EUR confirmed by Idealista news (2019-01-08)"
2019,1245,"1160 ops / EUR 660729851","Capital transfer: 81 ops / EUR 81725202; Job creation: 4 (amount negligible/not specified)",742455053,"China 394; Brazil 210; Turkey 85; USA 65; Russia 53",primary,"SEF/SEFSTAT, RIFA 2019 (sefstat.sef.pt/Docs/Rifa2019.pdf)"
2020,1182,"1094 ops / EUR 588357249","Capital transfer: 88 ops / EUR 58372216; Job creation: 0",646729465,"China 296; Brazil 126; USA 75; South Africa 74; Turkey 72",primary,"SEF/SEFSTAT, RIFA 2020 (sefstat.sef.pt/Docs/Rifa2020.pdf)"
2021,865,"756 ops / EUR 409366153.13","Capital transfer: 106 ops / EUR 51450030.71; Job creation: 3 ops / ~EUR 460030 (flagged: raw extracted figure of EUR 460.8M is almost certainly an OCR/decimal artifact; recalculated residual used instead)",461276214.55,"China 270; USA 101; Brazil 70; Russia 65; India 34",primary (one flagged extraction anomaly),"SEF/SEFSTAT, RIFA 2021 (sefstat.sef.pt/Docs/Rifa2021.pdf)"
2022,1281,"1008 ops / EUR 534626804.91","Capital transfer: 271 ops / EUR 119665523.00; Job creation: 2",654292327.91,"USA 216; China 213; Brazil 109; India 83; South Africa 79; UK 71; Turkey 64; Lebanon 54; Morocco 30; Pakistan 26",primary (cross-validated),"SEF, RIFA 2022 (sef.pt/pt/Documents/RIFA2022 vF2a.pdf); total EUR confirmed by Idealista news (2023-01-09)"
2023,"2901 main applicants (+1554 family reunification)","649 ops / EUR 337M -- partial year only, through end-July 2023 (route closed 7 Oct 2023)","Investment funds: 352 approvals / EUR 125M+, Jan-Sep 2023 (~30% of all ARIs that year)","not reliably found for full year; cumulative since Oct 2012 through Oct 2023 route closure is widely cited as approx. EUR 7.3 billion / 12700+ main applicants","USA 567; China 306; UK 234; Brazil 219; India 199",secondary (SEF-to-AIMA transition disrupted official full-year reporting),"Approvals: Global Citizen Solutions, Yahoo/Schengen.News (cross-corroborated); route figures: Observador (2023-09-03), ECO (2024-01-24)"
2024,"2081 (+2909 family reunification)","route closed since Oct 2023, no new real-estate applications","no route breakdown published",not reported by AIMA,"USA 406; China 296; Russia 248; UK 147; India 140 (not in the AIMA report itself -- see source note)",primary (approvals) / secondary (nationalities),"AIMA, Relatorio de Migracoes e Asilo 2024 (aima.gov.pt, PDF) for approvals; thegoldenportugal.com for nationalities -- AIMA PDF confirmed to contain no investment or nationality breakdown"
