date,fdi_real_estate_transactions_meur
2008-03-31,260.61
2008-06-30,240.54
2008-09-30,199.85
2008-12-31,173.46
2009-03-31,185.07
2009-06-30,110.17
2009-09-30,109.77
2009-12-31,138.69
2010-03-31,96.97
2010-06-30,92.45
2010-09-30,115.87
2010-12-31,104.27
2011-03-31,83.82
2011-06-30,97.77
2011-09-30,114.62
2011-12-31,141.96
2012-03-31,100.28
2012-06-30,89.3
2012-09-30,111.0
2012-12-31,146.31
2013-03-31,96.55
2013-06-30,152.98
2013-09-30,151.27
2013-12-31,199.45
2014-03-31,306.21
2014-06-30,360.82
2014-09-30,343.73
2014-12-31,445.24
2015-03-31,319.12
2015-06-30,297.14
2015-09-30,319.68
2015-12-31,405.34
2016-03-31,434.9
2016-06-30,401.38
2016-09-30,331.47
2016-12-31,408.85
2017-03-31,489.78
2017-06-30,370.69
2017-09-30,384.08
2017-12-31,440.43
2018-03-31,495.45
2018-06-30,514.24
2018-09-30,434.61
2018-12-31,498.33
2019-03-31,445.76
2019-06-30,415.35
2019-09-30,418.47
2019-12-31,490.46
2020-03-31,468.51
2020-06-30,274.49
2020-09-30,352.27
2020-12-31,488.87
2021-03-31,345.02
2021-06-30,512.35
2021-09-30,570.74
2021-12-31,700.74
2022-03-31,615.95
2022-06-30,1047.15
2022-09-30,738.85
2022-12-31,762.23
2023-03-31,850.7
2023-06-30,1030.38
2023-09-30,1140.31
2023-12-31,853.13
2024-03-31,664.25
2024-06-30,863.79
2024-09-30,962.02
2024-12-31,1048.07
2025-03-31,968.9
2025-06-30,912.1
2025-09-30,1017.3
2025-12-31,1007.0
2026-03-31,816.03
