date,mortgage_rate_fixed
2018-12-31,2.64
2019-01-31,2.95
2019-02-28,2.88
2019-03-31,2.77
2019-04-30,2.95
2019-05-31,3.08
2019-06-30,3.44
2019-07-31,2.58
2019-08-31,2.38
2019-09-30,2.28
2019-10-31,2.4
2019-11-30,2.11
2019-12-31,2.05
2020-01-31,2.4
2020-02-29,2.19
2020-03-31,2.04
2020-04-30,2.31
2020-05-31,2.33
2020-06-30,1.99
2020-07-31,2.11
2020-08-31,2.07
2020-09-30,2.06
2020-10-31,2.03
2020-11-30,2.24
2020-12-31,2.11
2021-01-31,1.78
2021-02-28,1.92
2021-03-31,2.17
2021-04-30,2.14
2021-05-31,2.25
2021-06-30,2.19
2021-07-31,2.18
2021-08-31,2.2
2021-09-30,2.16
2021-10-31,2.23
2021-11-30,2.11
2021-12-31,2.12
2022-01-31,2.16
2022-02-28,2.21
2022-03-31,2.61
2022-04-30,2.96
2022-05-31,3.08
2022-06-30,2.9
2022-07-31,3.22
2022-08-31,2.89
2022-09-30,3.57
2022-10-31,3.99
2022-11-30,3.96
2022-12-31,3.77
2023-01-31,3.97
2023-02-28,3.95
2023-03-31,4.09
2023-04-30,4.06
2023-05-31,4.07
2023-06-30,4.09
2023-07-31,3.99
2023-08-31,4.04
2023-09-30,3.96
2023-10-31,4.1
2023-11-30,3.97
2023-12-31,3.83
2024-01-31,3.77
2024-02-29,3.84
2024-03-31,3.83
2024-04-30,3.92
2024-05-31,3.87
2024-06-30,3.82
2024-07-31,3.76
2024-08-31,3.65
2024-09-30,3.61
2024-10-31,3.47
2024-11-30,3.38
2024-12-31,3.38
2025-01-31,3.46
2025-02-28,3.45
2025-03-31,3.44
2025-04-30,3.51
2025-05-31,3.44
2025-06-30,3.51
2025-07-31,3.36
2025-08-31,3.39
2025-09-30,3.46
2025-10-31,3.43
2025-11-30,3.38
2025-12-31,3.6
2026-01-31,3.45
2026-02-28,3.7
2026-03-31,3.72
2026-04-30,3.69
2026-05-31,3.76
2026-06-30,3.73
