date,production_factor,yoy_growth_rate_pct
2001-12-01,Manpower,3.9000000000000004
2002-01-01,Manpower,4.0
2002-02-01,Manpower,4.1000000000000005
2002-03-01,Manpower,4.2
2002-04-01,Manpower,4.2
2002-05-01,Manpower,4.3
2002-06-01,Manpower,4.4
2002-07-01,Manpower,4.5
2002-08-01,Manpower,4.6000000000000005
2002-09-01,Manpower,4.7
2002-10-01,Manpower,4.800000000000001
2002-11-01,Manpower,4.800000000000001
2002-12-01,Manpower,4.800000000000001
2003-01-01,Manpower,4.7
2003-02-01,Manpower,4.7
2003-03-01,Manpower,4.5
2003-04-01,Manpower,4.4
2003-05-01,Manpower,4.3
2003-06-01,Manpower,4.1000000000000005
2003-07-01,Manpower,4.0
2003-08-01,Manpower,3.8000000000000003
2003-09-01,Manpower,3.6
2003-10-01,Manpower,3.4000000000000004
2003-11-01,Manpower,3.2
2003-12-01,Manpower,3.1
2004-01-01,Manpower,3.0
2004-02-01,Manpower,2.9000000000000004
2004-03-01,Manpower,2.8000000000000003
2004-04-01,Manpower,2.7
2004-05-01,Manpower,2.7
2004-06-01,Manpower,2.6
2004-07-01,Manpower,2.7
2004-08-01,Manpower,2.7
2004-09-01,Manpower,2.7
2004-10-01,Manpower,2.8000000000000003
2004-11-01,Manpower,2.8000000000000003
2004-12-01,Manpower,2.8000000000000003
2005-01-01,Manpower,2.9000000000000004
2005-02-01,Manpower,3.0
2005-03-01,Manpower,3.1
2005-04-01,Manpower,3.3000000000000003
2005-05-01,Manpower,3.4000000000000004
2005-06-01,Manpower,3.6
2005-07-01,Manpower,3.7
2005-08-01,Manpower,3.8000000000000003
2005-09-01,Manpower,4.0
2005-10-01,Manpower,4.2
2005-11-01,Manpower,4.3
2005-12-01,Manpower,4.5
2006-01-01,Manpower,4.7
2006-02-01,Manpower,4.800000000000001
2006-03-01,Manpower,4.800000000000001
2006-04-01,Manpower,4.9
2006-05-01,Manpower,4.9
2006-06-01,Manpower,4.800000000000001
2006-07-01,Manpower,4.7
2006-08-01,Manpower,4.6000000000000005
2006-09-01,Manpower,4.4
2006-10-01,Manpower,4.3
2006-11-01,Manpower,4.2
2006-12-01,Manpower,4.1000000000000005
2007-01-01,Manpower,4.0
2007-02-01,Manpower,3.9000000000000004
2007-03-01,Manpower,3.8000000000000003
2007-04-01,Manpower,3.6
2007-05-01,Manpower,3.5
2007-06-01,Manpower,3.5
2007-07-01,Manpower,3.6
2007-08-01,Manpower,3.7
2007-09-01,Manpower,3.8000000000000003
2007-10-01,Manpower,3.8000000000000003
2007-11-01,Manpower,3.8000000000000003
2007-12-01,Manpower,3.8000000000000003
2008-01-01,Manpower,3.8000000000000003
2008-02-01,Manpower,3.8000000000000003
2008-03-01,Manpower,3.9000000000000004
2008-04-01,Manpower,4.1000000000000005
2008-05-01,Manpower,4.1000000000000005
2008-06-01,Manpower,4.2
2008-07-01,Manpower,4.1000000000000005
2008-08-01,Manpower,4.1000000000000005
2008-09-01,Manpower,4.1000000000000005
2008-10-01,Manpower,4.1000000000000005
2008-11-01,Manpower,4.0
2008-12-01,Manpower,4.0
