freguesia,median_price_eur_sqm,new_construction_eur_sqm,existing_eur_sqm
Santo Antonio,6986,9577,6047
Parque das Nacoes,6407,7368,5750
Avenidas Novas,6000,7299,5274
Campo de Ourique,5979,7010,5702
Misericordia,5913,6646,5714
Estrela,5833,6142,5691
Belem,5498,5946,5362
Campolide,5486,7109,5294
Sao Domingos de Benfica,5182,6720,4899
Ajuda,5161,,5169
Alvalade,5041,,4990
Marvila,5008,5544,4800
Santa Maria Maior,5000,5566,4824
Areeiro,4963,7307,4648
Sao Vicente,4954,,4946
Alcantara,4938,5696,4825
Arroios,4776,4488,4828
Lumiar,4670,4708,4661
Benfica,4631,,4639
Beato,4600,5383,4286
Carnide,4553,,4570
Penha de Franca,4465,5124,4417
Olivais,4296,,4179
Santa Clara,3733,,3659
