period,year,quarter,date,house_price_portugal_sale_eur_sqm,house_price_portugal_rental_eur_sqm,house_price_lisboa_sale_eur_sqm,house_price_lisboa_rental_eur_sqm,house_price_porto_sale_eur_sqm,ine_transaction_count,ine_transaction_value_thousands,ine_price_value_index,ine_volume_index,mortgage_rate_fixed_pct,fdi_real_estate_transactions_meur,fdi_realestate_stock_meur,fdi_total_stock_meur,unemployment_rate_portugal_pct,construction_cost_yoy_growth_pct,population_portugal
1T1982,1982,1,1982-01-01,,,,,,,,,,,,,,,,9911771.0
2T1982,1982,2,1982-04-01,,,,,,,,,,,,,,,,9911771.0
3T1982,1982,3,1982-07-01,,,,,,,,,,,,,,,,9911771.0
4T1982,1982,4,1982-10-01,,,,,,,,,,,,,,,,9911771.0
1T1983,1983,1,1983-01-01,,,,,,,,,,,,,,,,9957865.0
2T1983,1983,2,1983-04-01,,,,,,,,,,,,,,,,9957865.0
3T1983,1983,3,1983-07-01,,,,,,,,,,,,,,,,9957865.0
4T1983,1983,4,1983-10-01,,,,,,,,,,,,,,,,9957865.0
1T1984,1984,1,1984-01-01,,,,,,,,,,,,,,,,9996232.0
2T1984,1984,2,1984-04-01,,,,,,,,,,,,,,,,9996232.0
3T1984,1984,3,1984-07-01,,,,,,,,,,,,,,,,9996232.0
4T1984,1984,4,1984-10-01,,,,,,,,,,,,,,,,9996232.0
1T1985,1985,1,1985-01-01,,,,,,,,,,,,,,,,10023613.0
2T1985,1985,2,1985-04-01,,,,,,,,,,,,,,,,10023613.0
3T1985,1985,3,1985-07-01,,,,,,,,,,,,,,,,10023613.0
4T1985,1985,4,1985-10-01,,,,,,,,,,,,,,,,10023613.0
1T1986,1986,1,1986-01-01,,,,,,,,,,,,,,,,10032734.0
2T1986,1986,2,1986-04-01,,,,,,,,,,,,,,,,10032734.0
3T1986,1986,3,1986-07-01,,,,,,,,,,,,,,,,10032734.0
4T1986,1986,4,1986-10-01,,,,,,,,,,,,,,,,10032734.0
1T1987,1987,1,1987-01-01,,,,,,,,,,,,,,,,10030031.0
2T1987,1987,2,1987-04-01,,,,,,,,,,,,,,,,10030031.0
3T1987,1987,3,1987-07-01,,,,,,,,,,,,,,,,10030031.0
4T1987,1987,4,1987-10-01,,,,,,,,,,,,,,,,10030031.0
1T1988,1988,1,1988-01-01,,,,,,,,,,,,,,,,10019610.0
2T1988,1988,2,1988-04-01,,,,,,,,,,,,,,,,10019610.0
3T1988,1988,3,1988-07-01,,,,,,,,,,,,,,,,10019610.0
4T1988,1988,4,1988-10-01,,,,,,,,,,,,,,,,10019610.0
1T1989,1989,1,1989-01-01,,,,,,,,,,,,,,,,10005000.0
2T1989,1989,2,1989-04-01,,,,,,,,,,,,,,,,10005000.0
3T1989,1989,3,1989-07-01,,,,,,,,,,,,,,,,10005000.0
4T1989,1989,4,1989-10-01,,,,,,,,,,,,,,,,10005000.0
1T1990,1990,1,1990-01-01,,,,,,,,,,,,,,,,9983218.0
2T1990,1990,2,1990-04-01,,,,,,,,,,,,,,,,9983218.0
3T1990,1990,3,1990-07-01,,,,,,,,,,,,,,,,9983218.0
4T1990,1990,4,1990-10-01,,,,,,,,,,,,,,,,9983218.0
1T1991,1991,1,1991-01-01,,,,,,,,,,,,,,,,9960235.0
2T1991,1991,2,1991-04-01,,,,,,,,,,,,,,,,9960235.0
3T1991,1991,3,1991-07-01,,,,,,,,,,,,,,,,9960235.0
4T1991,1991,4,1991-10-01,,,,,,,,,,,,,,,,9960235.0
1T1992,1992,1,1992-01-01,,,,,,,,,,,,,,,,9952494.0
2T1992,1992,2,1992-04-01,,,,,,,,,,,,,,,,9952494.0
3T1992,1992,3,1992-07-01,,,,,,,,,,,,,,,,9952494.0
4T1992,1992,4,1992-10-01,,,,,,,,,,,,,,,,9952494.0
1T1993,1993,1,1993-01-01,,,,,,,,,,,,,,,,9964675.0
2T1993,1993,2,1993-04-01,,,,,,,,,,,,,,,,9964675.0
3T1993,1993,3,1993-07-01,,,,,,,,,,,,,,,,9964675.0
4T1993,1993,4,1993-10-01,,,,,,,,,,,,,,,,9964675.0
1T1994,1994,1,1994-01-01,,,,,,,,,,,,,,,,9991525.0
2T1994,1994,2,1994-04-01,,,,,,,,,,,,,,,,9991525.0
3T1994,1994,3,1994-07-01,,,,,,,,,,,,,,,,9991525.0
4T1994,1994,4,1994-10-01,,,,,,,,,,,,,,,,9991525.0
1T1995,1995,1,1995-01-01,,,,,,,,,,,,,,,,10026176.0
2T1995,1995,2,1995-04-01,,,,,,,,,,,,,,,,10026176.0
3T1995,1995,3,1995-07-01,,,,,,,,,,,,,,,,10026176.0
4T1995,1995,4,1995-10-01,,,,,,,,,,,,,,,,10026176.0
1T1996,1996,1,1996-01-01,,,,,,,,,,,,,,,,10063945.0
2T1996,1996,2,1996-04-01,,,,,,,,,,,,,,,,10063945.0
3T1996,1996,3,1996-07-01,,,,,,,,,,,,,,,,10063945.0
4T1996,1996,4,1996-10-01,,,,,,,,,,,,,,,,10063945.0
1T1997,1997,1,1997-01-01,,,,,,,,,,,,,,,,10108977.0
2T1997,1997,2,1997-04-01,,,,,,,,,,,,,,,,10108977.0
3T1997,1997,3,1997-07-01,,,,,,,,,,,,,,,,10108977.0
4T1997,1997,4,1997-10-01,,,,,,,,,,,,,,,,10108977.0
1T1998,1998,1,1998-01-01,,,,,,,,,,,,,,,,10160196.0
2T1998,1998,2,1998-04-01,,,,,,,,,,,,,,,,10160196.0
3T1998,1998,3,1998-07-01,,,,,,,,,,,,,,,,10160196.0
4T1998,1998,4,1998-10-01,,,,,,,,,,,,,,,,10160196.0
1T1999,1999,1,1999-01-01,,,,,,,,,,,,,,,,10217828.0
2T1999,1999,2,1999-04-01,,,,,,,,,,,,,,,,10217828.0
3T1999,1999,3,1999-07-01,,,,,,,,,,,,,,,,10217828.0
4T1999,1999,4,1999-10-01,,,,,,,,,,,,,,,,10217828.0
1T2000,2000,1,2000-01-01,,,,,,,,,,,,,,,,10289898.0
2T2000,2000,2,2000-04-01,,,,,,,,,,,,,,,,10289898.0
3T2000,2000,3,2000-07-01,,,,,,,,,,,,,,,,10289898.0
4T2000,2000,4,2000-10-01,,,,,,,,,,,,,,,,10289898.0
1T2001,2001,1,2001-01-01,,,,,,,,,,,,,,,,10362722.0
2T2001,2001,2,2001-04-01,,,,,,,,,,,,,,,,10362722.0
3T2001,2001,3,2001-07-01,,,,,,,,,,,,,,,,10362722.0
4T2001,2001,4,2001-10-01,,,,,,,,,,,,,,,0.2,10362722.0
1T2002,2002,1,2002-01-01,,,,,,,,,,,,,,,1.1333333333333335,10419631.0
2T2002,2002,2,2002-04-01,,,,,,,,,,,,,,,2.0,10419631.0
3T2002,2002,3,2002-07-01,,,,,,,,,,,,,,,2.366666666666667,10419631.0
4T2002,2002,4,2002-10-01,,,,,,,,,,,,,,,2.7000000000000006,10419631.0
1T2003,2003,1,2003-01-01,,,,,,,,,,,,,,,2.6,10458821.0
2T2003,2003,2,2003-04-01,,,,,,,,,,,,,,,2.266666666666667,10458821.0
3T2003,2003,3,2003-07-01,,,,,,,,,,,,,,,1.7666666666666666,10458821.0
4T2003,2003,4,2003-10-01,,,,,,,,,,,,,,,1.3,10458821.0
1T2004,2004,1,2004-01-01,,,,,,,,,,,,,,,1.0666666666666667,10483861.0
2T2004,2004,2,2004-04-01,,,,,,,,,,,,,,,1.5666666666666667,10483861.0
3T2004,2004,3,2004-07-01,,,,,,,,,,,,,,,2.6333333333333333,10483861.0
4T2004,2004,4,2004-10-01,,,,,,,,,,,,,,,3.766666666666667,10483861.0
1T2005,2005,1,2005-01-01,,,,,,,,,,,,,,,4.5,10503330.0
2T2005,2005,2,2005-04-01,,,,,,,,,,,,,,,3.8000000000000003,10503330.0
3T2005,2005,3,2005-07-01,,,,,,,,,,,,,,,2.9000000000000004,10503330.0
4T2005,2005,4,2005-10-01,,,,,,,,,,,,,,,2.1333333333333333,10503330.0
1T2006,2006,1,2006-01-01,,,,,,,,,,,,,,,1.8,10522288.0
2T2006,2006,2,2006-04-01,,,,,,,,,,,,,,,2.466666666666667,10522288.0
3T2006,2006,3,2006-07-01,,,,,,,,,,,,,,,3.0666666666666664,10522288.0
4T2006,2006,4,2006-10-01,,,,,,,,,,,,,,,3.233333333333334,10522288.0
1T2007,2007,1,2007-01-01,,,,,,,,,,,,,,,3.4000000000000004,10542964.0
2T2007,2007,2,2007-04-01,,,,,,,,,,,,,,,3.266666666666667,10542964.0
3T2007,2007,3,2007-07-01,,,,,,,,,,,,,,,3.2000000000000006,10542964.0
4T2007,2007,4,2007-10-01,,,,,,,,,,,,,,,3.4000000000000004,10542964.0
1T2008,2008,1,2008-01-01,,,,,,,,,,,260.61,7185.94,81564.01,,3.733333333333333,10558177.0
2T2008,2008,2,2008-04-01,,,,,,,,,,,240.54,7425.93,81564.01,,4.466666666666668,10558177.0
3T2008,2008,3,2008-07-01,,,,,,,,,,,199.85,7625.13,81564.01,,5.666666666666667,10558177.0
4T2008,2008,4,2008-10-01,,,,,,,,,,,173.46,7778.8,81564.01,,6.2,10558177.0
1T2009,2009,1,2009-01-01,,,,,,21219.0,2594215.0,101.11490400043772,93.77630953827796,,185.07,7965.15,87058.56,,5.533333333333334,10568247.0
2T2009,2009,2,2009-04-01,,,,,,24229.0,2992266.0,102.14069967235476,107.07885403661514,,110.17,8075.32,87058.56,,3.3333333333333335,10568247.0
