date,city_code,city,typology,median_price_eur_per_sqm,year,quarter
2016-01-01,1700067,Amadora,0 or 1 bedroom,763.0,2016,1
2016-01-01,1700067,Amadora,2 bedrooms,807.0,2016,1
2016-01-01,1700067,Amadora,3 bedrooms,964.0,2016,1
2016-01-01,1700067,Amadora,4 or more bedrooms,803.0,2016,1
2016-04-01,1700067,Amadora,0 or 1 bedroom,778.0,2016,2
2016-04-01,1700067,Amadora,2 bedrooms,836.0,2016,2
2016-04-01,1700067,Amadora,3 bedrooms,975.0,2016,2
2016-04-01,1700067,Amadora,4 or more bedrooms,818.0,2016,2
2016-07-01,1700067,Amadora,0 or 1 bedroom,786.0,2016,3
2016-07-01,1700067,Amadora,2 bedrooms,841.0,2016,3
2016-07-01,1700067,Amadora,3 bedrooms,984.0,2016,3
2016-07-01,1700067,Amadora,4 or more bedrooms,815.0,2016,3
2016-10-01,1700067,Amadora,0 or 1 bedroom,830.0,2016,4
2016-10-01,1700067,Amadora,2 bedrooms,867.0,2016,4
2016-10-01,1700067,Amadora,3 bedrooms,1010.0,2016,4
2016-10-01,1700067,Amadora,4 or more bedrooms,866.0,2016,4
2017-01-01,1700067,Amadora,0 or 1 bedroom,903.0,2017,1
2017-01-01,1700067,Amadora,2 bedrooms,912.0,2017,1
2017-01-01,1700067,Amadora,3 bedrooms,1037.0,2017,1
2017-01-01,1700067,Amadora,4 or more bedrooms,979.0,2017,1
2017-04-01,1700067,Amadora,0 or 1 bedroom,960.0,2017,2
2017-04-01,1700067,Amadora,2 bedrooms,933.0,2017,2
2017-04-01,1700067,Amadora,3 bedrooms,1056.0,2017,2
2017-04-01,1700067,Amadora,4 or more bedrooms,992.0,2017,2
2017-07-01,1700067,Amadora,0 or 1 bedroom,994.0,2017,3
2017-07-01,1700067,Amadora,2 bedrooms,961.0,2017,3
2017-07-01,1700067,Amadora,3 bedrooms,1079.0,2017,3
2017-07-01,1700067,Amadora,4 or more bedrooms,1035.0,2017,3
2017-10-01,1700067,Amadora,0 or 1 bedroom,1018.0,2017,4
2017-10-01,1700067,Amadora,2 bedrooms,1004.0,2017,4
2017-10-01,1700067,Amadora,3 bedrooms,1092.0,2017,4
2017-10-01,1700067,Amadora,4 or more bedrooms,1060.0,2017,4
2018-01-01,1700067,Amadora,0 or 1 bedroom,1057.0,2018,1
2018-01-01,1700067,Amadora,2 bedrooms,1049.0,2018,1
2018-01-01,1700067,Amadora,3 bedrooms,1110.0,2018,1
2018-01-01,1700067,Amadora,4 or more bedrooms,1062.0,2018,1
2018-04-01,1700067,Amadora,0 or 1 bedroom,1104.0,2018,2
2018-04-01,1700067,Amadora,2 bedrooms,1116.0,2018,2
2018-04-01,1700067,Amadora,3 bedrooms,1146.0,2018,2
