geo_level,region,year,population
NUTS 2024,Portugal,1982,9911771
NUTS 2024,Portugal,1983,9957865
NUTS 2024,Portugal,1984,9996232
NUTS 2024,Portugal,1985,10023613
NUTS 2024,Portugal,1986,10032734
NUTS 2024,Portugal,1987,10030031
NUTS 2024,Portugal,1988,10019610
NUTS 2024,Portugal,1989,10005000
NUTS 2024,Portugal,1990,9983218
NUTS 2024,Portugal,1991,9960235
NUTS 2024,Portugal,1992,9952494
NUTS 2024,Portugal,1993,9964675
NUTS 2024,Portugal,1994,9991525
NUTS 2024,Portugal,1995,10026176
NUTS 2024,Portugal,1996,10063945
NUTS 2024,Portugal,1997,10108977
NUTS 2024,Portugal,1998,10160196
NUTS 2024,Portugal,1999,10217828
NUTS 2024,Portugal,2000,10289898
NUTS 2024,Portugal,2001,10362722
NUTS 2024,Portugal,2002,10419631
NUTS 2024,Portugal,2003,10458821
NUTS 2024,Portugal,2004,10483861
NUTS 2024,Portugal,2005,10503330
NUTS 2024,Portugal,2006,10522288
NUTS 2024,Portugal,2007,10542964
NUTS 2024,Portugal,2008,10558177
NUTS 2024,Portugal,2009,10568247
NUTS 2024,Portugal,2010,10573100
NUTS 2024,Portugal,2011,10565836
NUTS 2024,Portugal,2012,10531420
NUTS 2024,Portugal,2013,10473991
NUTS 2024,Portugal,2014,10419607
NUTS 2024,Portugal,2015,10381838
NUTS 2024,Portugal,2016,10356516
NUTS 2024,Portugal,2017,10340124
NUTS 2024,Portugal,2018,10334633
NUTS 2024,Portugal,2019,10354446
NUTS 2024,Portugal,2020,10384846
NUTS 2024,Portugal,2022,10764411
NUTS 2024,Portugal,2023,11067026
NUTS 2024,Portugal,2024,11295785
NUTS 2024,Portugal,2025,11405627
NUTS I,Continente,1982,9410282
NUTS I,Continente,1983,9453685
NUTS I,Continente,1984,9489716
NUTS I,Continente,1985,9515429
NUTS I,Continente,1986,9524872
NUTS I,Continente,1987,9524155
NUTS I,Continente,1988,9516686
NUTS I,Continente,1989,9505538
NUTS I,Continente,1990,9487883
NUTS I,Continente,1991,9466850
NUTS I,Continente,1992,9459921
NUTS I,Continente,1993,9474762
NUTS I,Continente,1994,9504265
NUTS I,Continente,1995,9540823
NUTS I,Continente,1996,9580149
NUTS I,Continente,1997,9626140
NUTS I,Continente,1998,9677652
NUTS I,Continente,1999,9734757
NUTS I,Continente,2000,9805339
NUTS I,Continente,2001,9874675
NUTS I,Continente,2002,9927082
NUTS I,Continente,2003,9962630
NUTS I,Continente,2004,9984537
NUTS I,Continente,2005,10001054
NUTS I,Continente,2006,10017040
NUTS I,Continente,2007,10034679
NUTS I,Continente,2008,10047363
NUTS I,Continente,2009,10055535
NUTS I,Continente,2010,10058932
NUTS I,Continente,2011,10051230
NUTS I,Continente,2012,10018638
NUTS I,Continente,2013,9964912
NUTS I,Continente,2014,9915621
NUTS I,Continente,2015,9883307
NUTS I,Continente,2016,9862219
NUTS I,Continente,2017,9848893
NUTS I,Continente,2018,9845500
NUTS I,Continente,2019,9866420
NUTS I,Continente,2020,9896175
NUTS I,Continente,2022,10268102
NUTS I,Continente,2023,10565885
NUTS I,Continente,2024,10789350
NUTS I,Continente,2025,10895373
NUTS II,Norte,1982,3450553
NUTS II,Norte,1983,3475380
NUTS II,Norte,1984,3497128
NUTS II,Norte,1985,3514503
NUTS II,Norte,1986,3522873
NUTS II,Norte,1987,3525045
NUTS II,Norte,1988,3524033
NUTS II,Norte,1989,3520769
NUTS II,Norte,1990,3514049
NUTS II,Norte,1991,3510299
NUTS II,Norte,1992,3514766
NUTS II,Norte,1993,3526345
NUTS II,Norte,1994,3542567
NUTS II,Norte,1995,3560234
NUTS II,Norte,1996,3578429
NUTS II,Norte,1997,3598094
NUTS II,Norte,1998,3619049
NUTS II,Norte,1999,3640930
NUTS II,Norte,2000,3665926
NUTS II,Norte,2001,3688037
NUTS II,Norte,2002,3702314
NUTS II,Norte,2003,3711017
NUTS II,Norte,2004,3715305
NUTS II,Norte,2005,3717466
NUTS II,Norte,2006,3718980
NUTS II,Norte,2007,3719836
NUTS II,Norte,2008,3716164
NUTS II,Norte,2009,3709267
NUTS II,Norte,2010,3699783
NUTS II,Norte,2011,3688728
NUTS II,Norte,2012,3673378
NUTS II,Norte,2013,3651843
NUTS II,Norte,2014,3629804
NUTS II,Norte,2015,3612299
NUTS II,Norte,2016,3601191
NUTS II,Norte,2017,3594496
NUTS II,Norte,2018,3592016
NUTS II,Norte,2019,3595836
NUTS II,Norte,2020,3600738
NUTS II,Norte,2022,3640337
NUTS II,Norte,2023,3708349
NUTS II,Norte,2024,3758646
NUTS II,Norte,2025,3784230
NUTS III,Alto Minho,1982,258629
NUTS III,Alto Minho,1983,259459
NUTS III,Alto Minho,1984,259968
NUTS III,Alto Minho,1985,260194
NUTS III,Alto Minho,1986,259697
NUTS III,Alto Minho,1987,258720
NUTS III,Alto Minho,1988,257507
NUTS III,Alto Minho,1989,256008
NUTS III,Alto Minho,1990,254201
NUTS III,Alto Minho,1991,251928
NUTS III,Alto Minho,1992,249938
NUTS III,Alto Minho,1993,248758
NUTS III,Alto Minho,1994,247988
NUTS III,Alto Minho,1995,247537
NUTS III,Alto Minho,1996,247300
NUTS III,Alto Minho,1997,247289
NUTS III,Alto Minho,1998,247522
NUTS III,Alto Minho,1999,248062
NUTS III,Alto Minho,2000,249041
NUTS III,Alto Minho,2001,250079
NUTS III,Alto Minho,2002,250657
NUTS III,Alto Minho,2003,250650
NUTS III,Alto Minho,2004,250305
NUTS III,Alto Minho,2005,249875
NUTS III,Alto Minho,2006,249300
NUTS III,Alto Minho,2007,248749
NUTS III,Alto Minho,2008,248004
NUTS III,Alto Minho,2009,247091
NUTS III,Alto Minho,2010,245998
NUTS III,Alto Minho,2011,244343
NUTS III,Alto Minho,2012,242325
NUTS III,Alto Minho,2013,240193
NUTS III,Alto Minho,2014,238008
NUTS III,Alto Minho,2015,236159
NUTS III,Alto Minho,2016,234722
NUTS III,Alto Minho,2017,233422
NUTS III,Alto Minho,2018,232402
NUTS III,Alto Minho,2019,232005
NUTS III,Alto Minho,2020,232234
NUTS III,Alto Minho,2022,233800
NUTS III,Alto Minho,2023,239127
NUTS III,Alto Minho,2024,242638
NUTS III,Alto Minho,2025,244098
Município,Arcos de Valdevez,1982,31270
Município,Arcos de Valdevez,1983,31223
Município,Arcos de Valdevez,1984,31118
Município,Arcos de Valdevez,1985,30942
Município,Arcos de Valdevez,1986,30543
Município,Arcos de Valdevez,1987,29953
Município,Arcos de Valdevez,1988,29285
Município,Arcos de Valdevez,1989,28594
Município,Arcos de Valdevez,1990,27838
Município,Arcos de Valdevez,1991,27084
Município,Arcos de Valdevez,1992,26529
Município,Arcos de Valdevez,1993,26123
Município,Arcos de Valdevez,1994,25778
