district,quarter,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional,log_price_lag1,t
aveiro,2015-01-01,1T2015,2015,2015Q1,2015-01-01,782.6666666666666,3.7,6.662706892279878,,,21762.0,2662680.0,101.19388995618124,96.176070887978,,319.12,12554.79,125514.7,0.7000000000000001,10381838.0,14.2,,0
aveiro,2015-04-01,2T2015,2015,2015Q2,2015-04-01,789.0,3.766666666666667,6.670766320845874,0.008059428565996285,,20614.0,2509888.0,100.69923957118108,91.10254228861218,,297.14,12851.93,125514.7,0.8333333333333334,10381838.0,12.4,6.662706892279878,1
aveiro,2015-07-01,3T2015,2015,2015Q3,2015-07-01,825.0,3.9333333333333336,6.715383386334681,0.04461706548880695,,22928.0,2697752.0,97.31280042246271,101.32914958733386,,319.68,13171.62,125514.7,1.1333333333333335,10381838.0,12.3,6.670766320845874,2
aveiro,2015-10-01,4T2015,2015,2015Q4,2015-10-01,823.3333333333334,3.9,6.713361140953913,-0.002022245380767451,,25205.0,3071762.0,100.79407005017497,111.39223723607596,,405.34,13576.96,125514.7,1.2000000000000002,10381838.0,12.5,6.715383386334681,3
aveiro,2016-01-01,1T2016,2016,2016Q1,2016-01-01,804.6666666666666,4.0,6.690428112989367,-0.022933027964546326,0.027721220709489458,24926.0,3001077.0,99.57691524589762,110.1592106862301,,434.9,14011.86,127838.92,1.3666666666666665,10356516.0,12.8,6.713361140953913,4
aveiro,2016-04-01,2T2016,2016,2016Q2,2016-04-01,802.0,4.033333333333333,6.687108607866515,-0.0033195051228522843,0.01634228702064089,26890.0,3267885.0,100.5101875107177,118.83901048514512,,401.38,14413.24,127838.92,1.3666666666666665,10356516.0,11.2,6.690428112989367,5
aveiro,2016-07-01,3T2016,2016,2016Q3,2016-07-01,801.6666666666666,4.1000000000000005,6.686692893871752,-0.00041571399476314497,-0.028690492462929207,26675.0,3173236.0,98.38571929954205,117.8888287352639,,331.47,14744.71,127838.92,1.2000000000000002,10356516.0,10.9,6.687108607866515,6
aveiro,2016-10-01,4T2016,2016,2016Q4,2016-10-01,811.6666666666666,4.066666666666666,6.69908974684858,0.012396852976828576,-0.01427139410533318,28999.0,3551512.0,101.2894901297318,128.15963053398005,,408.85,15153.56,127838.92,1.2000000000000002,10356516.0,10.8,6.686692893871752,7
aveiro,2017-01-01,1T2017,2017,2017Q1,2017-01-01,814.0,4.033333333333333,6.70196036600254,0.002870619153959808,0.011532253013172955,29975.0,3800102.0,104.85042196590872,132.4730137334409,,489.78,15643.34,138586.19,1.2666666666666668,10340124.0,10.4,6.69908974684858,8
aveiro,2017-04-01,2T2017,2017,2017Q2,2017-04-01,827.6666666666666,4.066666666666666,6.718610496840057,0.016650130837517096,0.031501888973542336,31197.0,4021419.0,106.61065537213086,137.8735816327658,,370.69,16014.03,138586.19,1.3333333333333333,10340124.0,9.1,6.70196036600254,9
aveiro,2017-07-01,3T2017,2017,2017Q3,2017-07-01,839.0,4.466666666666667,6.732210706467206,0.013600209627148807,0.04551781259545429,32722.0,4258992.0,107.64679513938984,144.61324288192336,,384.08,16398.1,138586.19,1.5,10340124.0,8.8,6.718610496840057,10
aveiro,2017-10-01,4T2017,2017,2017Q4,2017-10-01,865.6666666666666,4.533333333333333,6.763499922994638,0.03128921652743255,0.06441017614605826,35940.0,4898678.0,112.72881483438267,158.83503298014563,,440.43,16838.54,138586.19,1.7666666666666668,10340124.0,8.3,6.732210706467206,11
aveiro,2018-01-01,1T2018,2018,2018Q1,2018-01-01,873.0,4.466666666666667,6.771935555839602,0.008435632844963514,0.06997518983706197,34449.0,4755125.0,114.16144018167434,152.2456330309693,,495.45,17333.99,136252.87,1.8,10334633.0,8.0,6.763499922994638,12
aveiro,2018-04-01,2T2018,2018,2018Q2,2018-04-01,880.3333333333334,4.8,6.780300623629023,0.0083650677894207,0.06169012678896557,38730.0,5425227.0,115.8522674050557,171.16529847860434,,514.24,17848.23,136252.87,1.9,10334633.0,6.9,6.771935555839602,13
aveiro,2018-07-01,3T2018,2018,2018Q3,2018-07-01,980.3333333333334,5.0,6.8878926498858855,0.10759202625686282,0.15568194341867958,38964.0,5512302.0,117.00477583884005,172.19944977847507,,434.61,18282.84,136252.87,2.1333333333333333,10334633.0,6.800000000000001,6.780300623629023,14
aveiro,2018-10-01,4T2018,2018,2018Q4,2018-10-01,984.0,5.1000000000000005,6.891625897052253,0.0037332471663678035,0.12812597405761483,39066.0,5414883.0,114.63685212246476,172.65023367841872,2.64,498.33,18781.17,136252.87,2.233333333333334,10334633.0,6.7,6.8878926498858855,15
aveiro,2019-01-01,1T2019,2019,2019Q1,2019-01-01,1008.3333333333334,5.3,6.916054081796832,0.024428184744579085,0.1441185259572304,36954.0,5261090.0,117.7466059092851,163.31635527958545,2.8666666666666667,445.76,19226.93,148342.92,2.366666666666667,10354446.0,6.9,6.891625897052253,16
aveiro,2019-04-01,2T2019,2019,2019Q2,2019-04-01,1044.3333333333333,5.599999999999999,6.951134002284082,0.035079920487249616,0.17083337865505932,36681.0,5414806.0,122.08880842455076,162.10984542973628,3.1566666666666667,415.35,19642.28,148342.92,2.466666666666667,10354446.0,6.300000000000001,6.916054081796832,17
aveiro,2019-07-01,3T2019,2019,2019Q3,2019-07-01,1061.6666666666667,6.1000000000000005,6.967595279338154,0.016461277054071743,0.07970262945226825,39554.0,5800028.0,121.2757031962132,174.80692527814915,2.4133333333333336,418.47,20060.75,148342.92,2.4000000000000004,10354446.0,6.2,6.951134002284082,18
aveiro,2019-10-01,4T2019,2019,2019Q4,2019-10-01,1073.0,6.333333333333333,6.9782137426306985,0.010618463292544789,0.08658784557844523,41676.0,6136268.0,121.77339389322496,184.18499817697688,2.1866666666666665,490.46,20551.21,148342.92,2.4000000000000004,10354446.0,6.800000000000001,6.967595279338154,19
aveiro,2020-01-01,1T2020,2020,2020Q1,2020-01-01,1110.0,6.5,7.01211529430638,0.03390155167568132,0.09606121250954747,36399.0,5785538.0,131.4584231641285,160.86356052989206,2.21,468.51,21019.72,150377.77,2.533333333333333,10384846.0,6.9,6.9782137426306985,20
aveiro,2020-04-01,2T2020,2020,2020Q2,2020-04-01,1136.3333333333333,6.566666666666666,7.035561983469793,0.023446689163413303,0.08442798118571115,26379.0,4125502.0,129.34587844472952,116.5806715354274,2.21,274.49,21294.21,150377.77,2.2,10384846.0,5.7,7.01211529430638,21
aveiro,2020-07-01,3T2020,2020,2020Q3,2020-07-01,1183.0,6.7,7.075808863978387,0.04024688050859382,0.10821358464023323,35596.0,5427603.0,126.10752326248976,157.31474218033566,2.08,352.27,21646.48,150377.77,2.1333333333333333,10384846.0,8.200000000000001,7.035561983469793,22
aveiro,2020-10-01,4T2020,2020,2020Q4,2020-10-01,1231.6666666666667,6.8999999999999995,7.116123544714193,0.04031468073580591,0.13790980208349435,39139.0,6098441.0,128.86744612614154,172.97285352837838,2.1266666666666665,488.87,22135.35,150377.77,2.1,10384846.0,7.300000000000001,7.075808863978387,23
aveiro,2021-01-01,1T2021,2021,2021Q1,2021-01-01,1281.0,7.066666666666666,7.155396301896734,0.039272757182541085,0.14328100759035411,34614.0,5595240.0,133.69065495381548,152.97484228087814,1.9566666666666668,345.02,22480.37,164176.4,1.9,,7.2,7.116123544714193,24
aveiro,2021-04-01,2T2021,2021,2021Q2,2021-04-01,1296.3333333333333,6.8,7.167295045487638,0.011898743590903926,0.13173306201784474,41736.0,6933006.0,137.38675721914424,184.45016517694373,2.193333333333334,512.35,22992.72,164176.4,2.866666666666667,,6.9,7.155396301896734,25
aveiro,2021-07-01,3T2021,2021,2021Q3,2021-07-01,1344.3333333333333,6.733333333333333,7.203653506205258,0.03635846071762039,0.1278446422268713,43447.0,7345978.0,139.83759623515712,192.0118441259985,2.18,570.74,23563.46,164176.4,4.033333333333334,,6.300000000000001,7.167295045487638,26
aveiro,2021-10-01,4T2021,2021,2021Q4,2021-10-01,1369.6666666666667,6.766666666666667,7.2223226802153,0.018669174010041978,0.10619913550110738,45885.0,8225207.0,148.2552976019511,202.7864632246517,2.1533333333333333,700.74,24264.2,164176.4,5.300000000000001,,6.300000000000001,7.203653506205258,27
aveiro,2022-01-01,1T2022,2022,2022Q1,2022-01-01,1417.6666666666667,6.966666666666666,7.256767606585524,0.03444492637022378,0.10137130468879008,43544.0,8081797.0,153.50189341648706,192.44053077594492,2.3266666666666667,615.95,24880.15,175732.61,6.766666666666667,10764411.0,6.0,7.2223226802153,28
aveiro,2022-04-01,2T2022,2022,2022Q2,2022-04-01,1501.3333333333333,6.933333333333334,7.314108881151417,0.057341274565892775,0.14681383566377892,43607.0,8287705.0,157.1853964180325,192.71895612591013,2.98,1047.15,25927.3,175732.61,8.666666666666666,10764411.0,5.9,7.256767606585524,29
aveiro,2022-07-01,3T2022,2022,2022Q3,2022-07-01,1580.0,7.266666666666667,7.365180126021013,0.05107124486959602,0.16152661981575456,42223.0,8051492.0,157.71078703058802,186.6024373266747,3.2266666666666666,738.85,26666.15,175732.61,10.333333333333334,10764411.0,5.9,7.314108881151417,30
aveiro,2022-10-01,4T2022,2022,2022Q4,2022-10-01,1641.6666666666667,7.966666666666666,7.40346726493808,0.03828713891706759,0.18114458472278017,38526.0,7362219.0,158.04797371910158,170.26373067871702,3.9066666666666663,762.23,27428.38,175732.61,11.566666666666668,10764411.0,6.7,7.365180126021013,31
aveiro,2023-01-01,1T2023,2023,2023Q1,2023-01-01,1660.6666666666667,8.266666666666667,7.414974407154016,0.01150714221593585,0.15820680056849223,34493.0,6857332.0,164.42139501587408,152.440088830945,4.003333333333333,850.7,28279.08,192753.71,,11067026.0,7.2,7.40346726493808,32
aveiro,2023-04-01,2T2023,2023,2023Q2,2023-04-01,1665.6666666666667,8.166666666666666,7.417980722676095,0.0030063155220787507,0.10387184152467821,33624.0,6904628.0,169.83415260390527,148.59958678142505,4.073333333333333,1030.38,29309.46,192753.71,,11067026.0,6.1000000000000005,7.414974407154016,33
aveiro,2023-07-01,3T2023,2023,2023Q3,2023-07-01,1662.3333333333333,9.466666666666669,7.415977516878013,-0.0020032057980818863,0.0507973908570003,34256.0,7072380.0,170.75092220163313,151.39267918107592,3.9966666666666666,1140.31,30449.77,192753.71,,11067026.0,6.1000000000000005,7.417980722676095,34
aveiro,2023-10-01,4T2023,2023,2023Q4,2023-10-01,1658.0,9.333333333333334,7.41336733569524,-0.0026101811827734522,0.009900070757159263,34126.0,7174277.0,173.87088910761483,150.81815068114773,3.966666666666667,853.13,31302.9,192753.71,,11067026.0,6.6000000000000005,7.415977516878013,35
